Company Name,Industry,Symbol,Series,ISIN Code,ID
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,532921
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,508869
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,500820
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,532215
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,532977
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,500034
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01018,532978
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,500547
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,532454
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,500825
